year BS1 BS2 BS3 BS4 BS5 BS6 BS7 BS8 BS9 BS10 BS11 BS12 BS13 BS14 BS15 BS16 BS17 BS18 BS19 BS20 BS21 BS22 BS23 BS24 BS25 BS26 BS27 BS28 BS29 BS30 BS31 BS32 BS33 BS34 BS35 BS36 BS37 BS38 BS39 BS40 BS41 BS42 BS43 BS44 BS45 BS46 BS47 BS48 BS49 BS50 BS51 BS52 BS53 BS54 BS55 BS56 BS57 BS58 BS59 BS60 BS61 BS62 BS63 BS64 BS65 BS66 BS67 BS68 BS69 BS70 BS71 BS72 BS73 BS74 BS75 BS76 BS77 BS78 BS79 BS80 BS81 BS82 BS83 BS84 BS85 BS86 BS87 BS88 BS89 BS90 BS91 BS92 BS93 BS94 BS95 BS96 BS97 BS98 BS99 BS100
1985 i51z i57l i523 i52w i58j i57s i507 i50h i58z i53c i53k i551 i56g i53l i598 i58b i53m i50k i56x i53t i578 i58m i530 i52x i59p i56u i5b2 i56z i50i i532 i54t i54q i59g i50j i5ai i51y i58u i53v i5as i5ad i51n i50z i5ag i54u i599 i5av i54c i55p i52k i57b i59h i502 i504 i56a i52e i58n i51b i55i i5az i583 i515 i51c i52l i52r i57f i517 i57u i51s i51v i58a i501 i53n i589 i55f i526 i54i i5ax i556 i50c i596 i55x i500 i550 i5at i56l i57d i54n i59d i56v i513 i5af i555 i563 i567 i53p i50s i59v i591 i55v i57i
1986 i639 i66f i64u i65h i66c i6az i629 i63b i68q i66y i664 i687 i64g i61o i69y i69u i65t i6a8 i6au i67k i6at i626 i683 i6a5 i69w i62g i697 i65m i641 i657 i66t i62h i61h i68h i67d i68n i6ax i65i i6ao i604 i64f i63v i63q i67s i63g i68g i67u i64n i672 i62f i60b i64q i63n i60m i63u i66l i6ad i655 i61t i625 i6ac i64z i63s i64l i60y i609 i620 i68u i69n i67j i68k i602 i60i i60o i64m i69e i68c i643 i68b i651 i678 i61a i65k i6b2 i60n i667 i61g i61y i67p i65c i65q i699 i63o i60a i65d i63i i68i i65l i61d i69i
1987 i73s i764 i75k i79i i76d i72x i7aq i716 i71h i78u i72r i741 i788 i71r i750 i769 i737 i701 i79o i759 i70q i7aj i7aw i79s i75z i71g i76x i729 i76m i790 i71v i762 i79f i70u i75r i75s i783 i77x i706 i740 i776 i75f i71z i73v i761 i70n i72s i79m i786 i78b i78w i78g i727 i717 i79b i7af i7ax i792 i757 i71t i754 i7b3 i74t i70d i71j i77r i78m i73z i7au i765 i778 i71u i76j i72o i79q i771 i774 i77t i70i i752 i74p i77d i77w i76c i79z i7a0 i72k i772 i74x i70e i79e i70o i7as i794 i70r i7a9 i7a7 i71a i736 i75q
1988 i844 i83b i83h i83y i83a i82p i83w i8a5 i84o i806 i82t i86a i88h i84c i87b i820 i80q i85n i87w i8ab i814 i84w i82d i85t i89g i83g i82e i81e i89v i84j i8am i8a0 i83t i82c i85z i82n i88g i88f i831 i819 i873 i81r i81f i893 i82j i87v i88o i88y i8ap i879 i857 i889 i8a7 i82h i88l i876 i85f i85p i89p i8ac i845 i87p i82r i82v i85d i862 i83v i828 i811 i81z i892 i83o i82x i84h i80i i80e i82y i80a i85r i8az i86i i836 i825 i858 i89a i854 i84d i85k i853 i86m i8af i89w i85w i89t i81k i883 i878 i89y i86v i837
1989 i96e i99n i98f i99v i9aj i92l i93w i949 i93p i92k i95z i9av i94h i934 i961 i97t i94o i94s i9ai i96k i9ah i91i i92x i9a4 i94r i903 i9ab i9ar i90a i95n i95k i941 i925 i96f i93g i98g i924 i90g i90c i91e i938 i976 i90y i96u i92t i953 i93t i995 i9as i9aa i92z i98e i94n i97h i94b i92o i99g i97q i94i i90e i983 i936 i99s i96t i988 i93d i977 i904 i956 i91k i95u i906 i973 i99w i97z i91y i93s i987 i93i i94f i91b i958 i97b i91s i9b3 i90d i94l i92n i98a i97g i908 i901 i95j i9aw i97r i9ad i99f i97p i975 i982
1990 j00v j07v j00r j05q j015 j03y j07g j05n j01f j01b j0a5 j06j j01z j06l j07s j09g j05o j0af j02t j06w j012 j08c j08r j048 j03q j003 j09a j00m j00j j040 j00b j08e j03m j04q j07u j01g j077 j08z j08g j0ap j0ao j05r j0ah j098 j07n j06z j001 j0al j01w j06h j06r j02y j01l j05p j07k j00a j0aj j03h j013 j03g j02w j01v j008 j07q j06d j08d j057 j035 j06n j01y j08k j00w j02s j06y j0ax j0ay j044 j031 j014 j023 j00l j03k j02m j04e j04j j05e j059 j04g j046 j028 j02r j09l j096 j01k j00f j03v j06o j04w j03p j0aw
1991 j197 j143 j10z j17o j17i j17f j175 j192 j105 j177 j16u j13j j14f j198 j16i j1b2 j16c j10h j14a j12k j1af j19i j19s j17l j12r j15a j1b0 j11y j19w j12h j10d j10a j11e j19r j14n j146 j1ab j15c j13k j156 j19t j104 j14k j162 j14p j194 j17d j170 j128 j15x j19m j168 j14l j12u j14v j15d j15z j10q j14x j1ao j10b j1b3 j12m j17a j19q j15g j1an j1ai j155 j114 j11f j10v j17g j10s j16p j16t j19k j16f j1a6 j11w j13t j1a4 j17x j15f j1a7 j18e j18x j15w j18d j16e j10i j11r j15r j173 j137 j163 j17k j18o j147 j113
1992 j215 j23n j23s j228 j22g j209 j20k j238 j23z j2ah j237 j28h j28m j299 j2a6 j20i j20e j204 j218 j269 j29j j248 j28v j27t j271 j27q j22w j253 j28b j22q j26n j2b1 j2a9 j21h j28o j28g j280 j20n j21q j27r j275 j2ae j201 j20p j2af j24n j27l j23x j21r j23c j27p j23l j21f j22u j262 j25x j20h j2az j26d j24m j2aq j27s j25e j263 j243 j25n j22c j29l j26o j285 j27m j266 j23o j2aj j261 j20o j26g j20q j208 j28l j25z j26m j28s j24v j24q j2a1 j21n j27c j276 j24o j250 j206 j26h j28x j202 j27z j203 j29s j27j j298
1993 j32g j32n j38l j34a j34l j31l j37x j32b j382 j32e j370 j33g j30h j31z j34u j341 j33y j37g j34g j39t j35u j39e j35d j37d j392 j34y j37o j358 j39j j37q j34x j31o j38p j38j j30l j30i j35g j336 j36m j35i j34c j34p j31x j36p j34q j31g j33m j31t j3ae j31r j33a j39n j311 j327 j30d j39r j343 j3b2 j37n j32u j3as j37l j301 j30m j33f j364 j385 j38h j36f j38m j39h j39d j31i j33k j37s j372 j36b j31q j36s j37f j3au j3ar j31v j39w j36d j325 j36k j31e j35x j34w j304 j36h j30x j33p j36a j32h j31y j32p j36i j3a7
1994 j48x j41w j49t j49c j47e j458 j4a6 j48c j499 j46g j41p j41k j402 j42t j47w j463 j44f j43w j49x j42p j46i j4as j47y j43f j4a4 j49h j46v j43j j46n j45j j4aj j46y j4am j41x j42f j4aw j485 j46e j46w j49r j423 j49f j487 j42e j47k j422 j451 j476 j403 j41c j4a1 j41j j49b j4ao j4a5 j48r j42w j454 j488 j44h j495 j486 j45n j40j j41s j49v j40p j43b j43d j4aq j40r j428 j447 j40d j416 j40g j468 j44c j40q j4av j450 j43v j45v j489 j46k j47n j420 j477 j48y j44x j40h j47x j49w j4aa j42a j44u j45p j465 j40a j48o
1995 j51z j5a5 j57n j52m j52b j55x j529 j59f j51i j52w j50o j53t j58d j58a j596 j56f j506 j59o j56t j55c j5ap j50f j583 j58x j53w j51k j5b2 j54a j5b0 j5ah j512 j58q j5ax j505 j503 j58h j59y j524 j595 j546 j50z j53v j51m j53b j51o j52e j550 j515 j593 j54q j537 j52h j52n j5ae j53i j56o j55z j56p j50q j55n j599 j511 j51h j51p j51f j5a4 j552 j519 j53y j52f j558 j523 j58r j586 j59t j5al j507 j576 j55h j539 j52a j59q j564 j57x j566 j59p j590 j55j j56m j510 j565 j501 j51t j579 j57r j5a3 j59l j54b j587 j55s
1996 j66q j603 j637 j61f j64a j67o j60p j61q j65p j61w j628 j68h j671 j610 j6ab j62e j68w j62m j68c j60j j66t j634 j60m j65x j68x j62r j653 j677 j63g j60y j6ay j65d j66j j66h j64t j68j j60q j65t j64q j67e j62o j65u j67i j69m j64s j61a j6ai j62c j613 j60o j651 j69l j65c j69d j643 j62d j629 j6at j62s j62w j61y j65v j606 j63e j6aw j60b j6a5 j61g j66a j62l j64b j61h j66d j61t j67j j60x j62v j61r j60s j61z j696 j66k j65o j64g j69r j668 j66f j67t j669 j64i j6b0 j66g j687 j67s j69h j68e j60n j67x j62p j6ac
1997 j79x j78h j747 j7aa j775 j75i j75p j77o j71t j77d j72d j779 j79i j772 j76w j74w j7a9 j773 j74g j7am j7ap j74o j70p j70f j76x j72u j73q j73k j73h j75h j70k j770 j70v j751 j729 j7ax j72i j715 j72p j79v j75x j74q j71q j7a6 j78m j79k j753 j70x j74x j76v j74l j72q j72k j759 j71v j777 j76g j77f j740 j76r j7aq j750 j77c j73j j73m j71h j79p j76c j76a j77i j721 j75b j75g j74d j74s j74y j780 j78c j70i j71f j746 j77w j709 j74j j75f j72w j734 j71w j765 j76h j704 j736 j75o j73i j75d j70e j79s j72a j795 j700
1998 j868 j81c j81k j88b j80d j801 j809 j859 j8av j832 j87s j86y j8ao j8ap j80v j89f j85b j82o j84a j849 j80i j878 j812 j89s j822 j87v j82l j88s j8ad j807 j85f j83v j827 j89o j87q j803 j85y j88t j88c j87x j89m j88w j817 j87b j839 j85q j815 j8aj j82m j80t j86m j83x j892 j898 j833 j85o j88v j86k j83i j80f j83o j844 j86z j800 j884 j8a3 j811 j88g j860 j842 j87w j806 j84v j81q j81u j820 j81o j8a5 j8b0 j82h j80k j87a j81l j84h j866 j80g j86b j81s j821 j87h j8aq j88f j85s j834 j8b2 j851 j857 j88m j89k j84r
1999 j96o j97d j97x j94f j978 j91c j94q j95b j99m j93p j965 j997 j91s j90k j96z j9av j9b1 j98a j93d j91h j9ap j93h j91m j94n j9a3 j9ae j924 j96n j92e j97b j99c j974 j91z j92s j9aw j987 j92z j96x j944 j90e j992 j948 j994 j91f j98q j90f j95w j97i j95z j931 j95q j9ac j94h j9a9 j95s j915 j93n j911 j9as j90j j91e j91x j95y j98s j97c j92w j939 j9b0 j960 j912 j93c j97p j98m j98i j90y j9ag j953 j9ax j92i j98e j93q j91b j938 j922 j983 j971 j92o j9ai j977 j96g j90z j927 j97t j93j j936 j90b j95x j949 j9b3 j96s
2000 k093 k04s k04m k0af k06m k08z k0ac k0b1 k013 k0ag k01z k02j k06r k01m k07j k0ab k031 k01h k06w k02o k030 k00s k03n k0a2 k04y k09y k037 k07w k034 k01i k09v k08l k092 k01n k09n k01g k01t k02h k02g k004 k048 k067 k03w k0ay k09e k01a k00n k08m k09t k05j k0a9 k05e k03u k08a k05u k03k k01e k03a k03z k082 k0aq k065 k02k k073 k02c k01q k01l k07s k035 k06j k0a6 k08b k09q k06u k0a3 k01y k043 k08f k04d k04b k01f k02r k01s k071 k06g k038 k05r k03g k00k k03y k03t k033 k07b k0at k0av k09m k03m k02s k04e k000
2001 k184 k11a k130 k11h k12w k13m k17w k16d k13c k10i k19b k1at k14v k11l k13n k19m k1ax k16k k129 k195 k105 k121 k13r k141 k10u k13e k163 k106 k123 k1a7 k13q k16e k14y k19p k10a k162 k102 k16u k152 k186 k19f k173 k101 k19d k11y k17u k144 k16x k19q k10c k19k k122 k104 k13d k1ac k12i k18r k13v k16q k13k k17g k11k k13y k133 k138 k10f k11i k11z k100 k11e k197 k10g k148 k17n k112 k12n k16o k18d k19y k19h k18v k19z k19c k1av k10j k14h k114 k10p k1au k13j k18g k1a0 k13l k14w k13u k14j k14i k108 k17q k131
2002 k20z k24n k228 k287 k28j k25r k29t k21k k28c k27m k25g k222 k26y k29k k29y k253 k27g k2a6 k27a k23y k22p k2ac k22u k28e k27o k26s k23i k2ae k258 k23x k28n k21c k29q k20t k245 k20y k26t k28b k26o k29i k22z k23k k23b k22x k2ah k20j k21u k22w k237 k25d k25l k27j k29e k296 k2aa k25a k299 k24e k21x k240 k27z k247 k27t k256 k26n k23a k25v k25w k21t k24q k23s k2ap k22v k24x k21j k21e k28m k266 k275 k27u k2ai k269 k294 k28u k20g k2am k231 k218 k28s k206 k22s k236 k25q k28r k264 k23u k27p k252 k242 k25z
2003 k34r k34m k381 k36h k32v k31d k39r k32m k31f k37n k386 k38d k36q k3a5 k367 k3an k39m k308 k38n k3a1 k303 k37l k3ad k385 k32c k33d k39o k37x k37m k379 k35t k305 k3am k38p k30o k36y k3ag k392 k31n k31l k31j k3a6 k394 k306 k35i k31v k35l k338 k322 k35x k37b k32x k33x k397 k30f k39t k39k k34w k31c k34z k31s k355 k37g k341 k30v k3ax k31p k37h k35e k31x k30z k311 k34q k32q k3a3 k310 k35j k39x k327 k35z k33m k35p k324 k38u k39z k309 k389 k36f k353 k32f k31h k36s k36w k32w k35r k342 k35w k32g k37f k37e
2004 k453 k442 k45x k45h k48u k47c k460 k4b3 k41c k4am k45f k40g k47f k4b1 k47k k41y k486 k42f k491 k46x k4ac k44o k467 k42w k4as k436 k46q k46s k46r k478 k44q k41r k45u k43n k42c k40t k49x k448 k49y k405 k45y k415 k48l k43v k40w k469 k49i k41v k42p k411 k4ax k46m k413 k44d k42s k40z k40k k483 k45j k426 k492 k49a k48v k46c k498 k43t k476 k473 k40a k47t k408 k47p k49s k49m k43y k45n k484 k497 k499 k452 k456 k409 k40n k41d k485 k47w k430 k4au k4b2 k450 k49d k437 k41m k42t k48r k403 k443 k454 k40y k4ap
2005 k567 k58p k56w k59h k56j k514 k568 k519 k54i k506 k58k k56l k5ay k5ao k53d k57b k5ak k53t k54f k51w k533 k51h k538 k577 k529 k580 k563 k54k k566 k55x k53j k593 k57m k53x k54m k5b2 k58g k59l k56e k54c k542 k575 k57g k548 k59x k59w k59n k522 k541 k52d k5aj k57a k50q k5aa k53u k50d k525 k50f k526 k54o k56r k596 k51q k521 k57v k58f k58z k54z k584 k57e k55a k52k k56a k599 k52h k55p k517 k592 k56n k52y k589 k52w k5b3 k58a k5ap k55r k53a k56v k55z k524 k59v k51t k57f k57q k5a2 k549 k502 k59c k53s k501
2006 k64w k62z k64g k66a k646 k6ax k66q k60t k68w k65a k65w k67r k66y k64i k69i k65b k66s k62d k65m k60r k61v k67e k61x k62e k62m k68x k680 k63x k603 k655 k64x k60m k69v k672 k664 k67s k63h k64j k673 k628 k69m k68n k61q k699 k65r k678 k65l k62c k659 k621 k6a7 k64b k69g k65q k64f k6ai k6ae k60f k62o k65v k63n k68j k614 k685 k6aw k66j k69a k64e k60i k63a k68f k69l k663 k6ag k65x k61u k68s k69o k658 k69c k67k k69x k66c k60z k605 k68k k68b k69f k62q k66n k64a k6b3 k687 k602 k610 k67w k64m k65c k6a4 k60v
